x,y,obs
135,216,27.43
133,219,27.43
134,219,12.62
133,229,30.48
134,299,6.1
135,305,9.75
137,316,1.83
133,333,4.08
137,342,4.06
133,339,1.22
137,342,4.57
133,347,12.78
134,354,18.82
137,106,2.13
136,137,2.74
138,146,35.05
138,146,14.63
138,153,9.14
137,161,12.8
136,189,3.92
136,215,30.48
138,215,4.27
135,228,30.48
134,234,9.75
138,237,16.76
138,270,6.1
135,273,24.38
134,289,45.53
135,293,1.83
134,301,15.54
136,317,20.3
138,319,10.82
135,340,5.49
137,349,12.19
136,357,30.57
134,357,21.06
136,353,12.61
139,103,17.37
135,132,4.27
139,145,5.49
138,185,9.64
136,202,29.87
135,208,14.87
139,215,8.84
135,222,12.19
137,225,3.96
135,228,18.29
135,228,15.24
139,236,24.69
139,261,4.28
139,280,23.16
137,292,3.66
136,292,8.23
137,293,6.4
136,293,5.23
136,298,4.57
138,300,7.62
135,305,5.49
135,313,7.62
137,316,1.83
138,320,3.66
137,338,7.01
137,338,7.01
137,342,4.57
137,343,13.09
137,344,7.6
137,352,28.59
137,357,43.54
137,356,36.58
138,139,3.35
138,161,5.49
138,191,0.0
140,200,29.59
138,216,23.77
137,275,2.74
136,301,13.72
136,312,9.14
138,320,4.21
139,318,23.16
137,339,10.61
140,341,3.35
137,342,4.57
139,344,3.05
139,344,3.17
140,344,17.12
140,348,19.46
140,349,31.3
138,349,23.54
138,350,22.24
137,354,38.1
137,106,1.22
139,145,1.52
137,160,18.29
141,185,3.93
139,236,18.29
138,258,12.47
139,261,6.1
137,287,60.96
138,291,19.39
139,294,19.81
137,293,5.84
140,296,18.29
138,299,10.67
141,309,6.1
137,326,5.79
140,333,6.1
139,334,2.17
137,334,38.1
138,336,9.75
138,339,8.84
137,343,11.49
138,350,22.25
138,350,21.82
142,138,7.32
142,184,21.34
139,215,10.67
