,x_loc,y_loc
1209,19.0,159.0
1210,19.0,159.0
1211,19.0,159.0
1212,19.0,159.0
1213,19.0,159.0
1214,19.0,160.0
1215,19.0,160.0
1216,19.0,160.0
1217,19.0,160.0
1218,19.0,160.0
1219,18.0,160.0
1220,18.0,160.0
1221,18.0,160.0
1222,18.0,160.0
1223,18.0,160.0
1224,18.0,160.0
1225,18.0,161.0
1226,18.0,161.0
1227,18.0,161.0
1228,18.0,161.0
1229,18.0,161.0
1230,18.0,161.0
1231,18.0,161.0
1232,18.0,161.0
1233,18.0,161.0
1234,18.0,161.0
1235,18.0,161.0
1236,18.0,161.0
1237,18.0,162.0
1238,18.0,162.0
1239,18.0,162.0
1240,18.0,162.0
1241,18.0,162.0
1242,18.0,162.0
1243,18.0,162.0
1244,18.0,162.0
1245,18.0,162.0
1246,18.0,162.0
1247,18.0,162.0
1248,26.0,124.0
1249,26.0,124.0
1250,26.0,125.0
1251,26.0,125.0
1252,26.0,125.0
1253,26.0,125.0
1254,25.0,125.0
1255,25.0,125.0
1256,25.0,125.0
1257,25.0,125.0
1258,25.0,125.0
1259,25.0,125.0
1260,25.0,125.0
1261,25.0,126.0
1262,25.0,126.0
1263,25.0,126.0
1264,25.0,126.0
1265,25.0,126.0
1266,25.0,126.0
1267,25.0,126.0
1268,25.0,126.0
1269,25.0,126.0
1270,25.0,126.0
1271,25.0,126.0
1272,25.0,127.0
1273,25.0,127.0
1274,25.0,127.0
1275,25.0,127.0
1276,25.0,127.0
1277,25.0,127.0
1278,25.0,127.0
1279,25.0,127.0
1280,25.0,127.0
1281,25.0,127.0
1282,25.0,128.0
1283,25.0,128.0
1284,25.0,128.0
1285,25.0,128.0
1286,25.0,128.0
1287,25.0,128.0
1288,25.0,128.0
1289,25.0,128.0
1290,25.0,128.0
1291,25.0,128.0
1292,25.0,128.0
1293,25.0,129.0
1294,25.0,129.0
1295,25.0,129.0
1296,25.0,129.0
1297,25.0,129.0
1298,25.0,129.0
1299,25.0,129.0
1300,25.0,129.0
1301,25.0,129.0
1302,25.0,129.0
1303,25.0,129.0
1304,25.0,130.0
1305,25.0,130.0
1306,25.0,130.0
1307,25.0,130.0
1308,25.0,130.0
1309,25.0,130.0
1310,25.0,130.0
1311,25.0,130.0
1312,25.0,130.0
1313,25.0,130.0
1314,25.0,130.0
1315,24.0,131.0
1316,24.0,131.0
1317,24.0,131.0
1318,24.0,131.0
1319,24.0,131.0
1320,24.0,131.0
1321,24.0,131.0
1322,24.0,131.0
1323,24.0,131.0
1324,24.0,131.0
1325,24.0,132.0
1326,24.0,132.0
1327,24.0,132.0
1328,24.0,132.0
1329,24.0,132.0
1330,24.0,132.0
1331,24.0,132.0
1332,24.0,132.0
1333,24.0,132.0
1334,24.0,132.0
